CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
36,0.63888889,0.73529412,0.20689655,0.11111111,0.55555556,1.0,0.00026731,0.375,1.91666667
37,0.91666667,0.92957746,0.22352941,0.0,0.88888889,1.0,0.00042324,0.625,1.73684211
38,0.66666667,0.95454545,0.21052632,0.2,0.8,0.8,0.00032083,0.11111111,1.875
39,0.64285714,0.64285714,0.35714286,0.125,0.25,1.0,0.0005011,0.42857143,0.9
40,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
41,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
42,0.51515152,0.8,0.16049383,0.0,0.58333333,1.0,0.00021732,0.27272727,2.61538462
43,0.61111111,0.66666667,0.21428571,0.11111111,0.33333333,1.0,0.00026731,0.375,1.83333333
44,1.0,1.0,0.19230769,0.0,1.0,1.0,0.00028629,1.0,2.1
45,0.6969697,0.81818182,0.0212766,0.0,1.0,1.0,3.343e-05,0.54545455,23.0
46,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,66.0
47,1.0,1.0,0.17647059,0.0,1.0,1.0,0.00030066,1.0,2.33333333
48,1.0,1.0,0.125,0.0,1.0,1.0,0.00017177,1.0,3.5
49,1.0,1.0,0.05263158,0.0,1.0,1.0,8.91e-05,1.0,9.0
50,0.86666667,0.86666667,0.23529412,0.16666667,0.0,1.0,0.00026715,0.6,1.625
51,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00010022,1.0,7.0
52,0.1754386,0.44117647,0.22077922,0.10526316,0.15789474,0.78947368,0.00017974,0.05555556,1.76470588
53,0.83333333,0.86440678,0.07692308,0.0,0.77777778,1.0,0.00011138,0.625,6.0
54,0.55555556,0.64556962,0.13043478,0.0,0.22222222,1.0,0.00013365,0.375,3.33333333
55,1.0,1.0,0.04,0.0,1.0,1.0,6.683e-05,1.0,12.0
56,1.0,1.0,0.03225806,0.0,1.0,1.0,6.016e-05,1.0,15.0
57,0.6,0.67346939,0.02941176,0.0,0.36363636,1.0,3.647e-05,0.4,16.5
58,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00016697,1.0,3.0
59,0.90909091,0.93975904,0.0,0.0,0.90909091,1.0,0.0,0.5,50.0
60,1.0,1.0,0.14285714,0.0,1.0,1.0,0.0002004,1.0,3.0
61,1.0,1.0,0.16,0.0,1.0,1.0,0.00022903,1.0,2.625
62,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,55.0
63,0.71111111,0.78534031,0.15789474,0.1,0.7,1.0,0.00024063,0.33333333,2.66666667
64,1.0,1.0,0.17647059,0.0,1.0,1.0,0.00025766,1.0,2.33333333
65,0.26900585,0.64186047,0.10679612,0.05263158,0.26315789,0.94736842,0.0001163,0.05555556,4.18181818
66,1.0,1.0,0.05084746,0.0,1.0,1.0,7.517e-05,1.0,9.33333333
67,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00020048,1.0,4.0
68,0.46666667,0.42857143,0.44,0.33333333,0.0,0.66666667,0.00036733,0.2,0.63636364
69,1.0,1.0,0.01098901,0.0,1.0,1.0,2.005e-05,1.0,45.0
70,0.58333333,0.77419355,0.26315789,0.22222222,0.33333333,1.0,0.00033414,0.25,1.4
71,0.97222222,0.97058824,0.02777778,0.0,1.0,1.0,4.455e-05,0.875,17.5
72,0.66666667,0.75,0.23076923,0.0,0.0,0.83333333,0.00020036,0.2,1.66666667
73,1.0,1.0,0.23076923,0.0,0.0,1.0,0.00030054,1.0,1.66666667
74,0.78181818,0.84466019,0.02272727,0.0,1.0,1.0,3.647e-05,0.6,21.5
75,0.21637427,0.67391304,0.21276596,0.15789474,0.15789474,0.89473684,0.00021146,0.05555556,1.85
76,0.66666667,0.75,0.28571429,0.0,0.0,0.83333333,0.00026715,0.2,1.25
77,1.0,1.0,0.14285714,0.0,1.0,1.0,0.0002004,1.0,3.0
78,0.78571429,0.82857143,0.06382979,0.0,0.5,1.0,7.517e-05,0.42857143,7.33333333
79,0.9047619,0.90697674,0.0952381,0.0,0.57142857,1.0,0.00011451,0.66666667,4.75
80,0.33333333,0.51785714,0.0,0.0,0.33333333,1.0,0.0,0.14285714,35.0
81,0.83333333,0.93442623,0.15492958,0.11111111,0.88888889,1.0,0.00024503,0.25,2.72727273
82,1.0,1.0,0.08695652,0.0,1.0,1.0,0.00011451,1.0,5.25
83,0.78571429,0.82857143,0.12,0.0,0.375,1.0,0.00015033,0.57142857,3.66666667
84,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
85,1.0,1.0,0.11764706,0.0,0.0,1.0,0.00013357,1.0,3.75
86,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00016697,1.0,3.0
87,1.0,1.0,0.125,0.0,1.0,1.0,0.00017177,1.0,3.5
88,1.0,1.0,0.16666667,0.0,0.0,1.0,0.00020036,1.0,2.5
89,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
90,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
91,0.86666667,0.86666667,0.13333333,0.0,0.0,1.0,0.00013357,0.6,3.25
92,0.95555556,0.95744681,0.0,0.0,1.0,1.0,0.0,0.77777778,43.0
93,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
94,0.30409357,0.76951673,0.12605042,0.10526316,0.47368421,1.0,0.00015859,0.05555556,3.46666667
95,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
96,1.0,1.0,0.21052632,0.0,0.0,1.0,0.00026715,1.0,1.875
97,1.0,1.0,0.06666667,0.0,1.0,1.0,8.589e-05,1.0,7.0
98,1.0,1.0,0.03448276,0.0,1.0,1.0,5.011e-05,1.0,14.0
99,1.0,1.0,0.02702703,0.0,1.0,1.0,4.455e-05,1.0,18.0
100,1.0,1.0,0.27586207,0.0,1.0,1.0,0.00045806,1.0,1.3125
101,0.91111111,0.92,0.0,0.0,1.0,1.0,0.0,0.77777778,41.0
102,0.9047619,0.90697674,0.07317073,0.0,0.57142857,1.0,8.589e-05,0.66666667,6.33333333
103,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00016697,1.0,3.0
104,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
105,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00020048,1.0,4.0
106,0.6,0.65217391,0.25,0.16666667,0.0,0.83333333,0.00020036,0.2,1.5
107,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
108,0.8,0.84615385,0.22580645,0.0,0.0,1.0,0.00023375,0.4,1.71428571
109,0.69444444,0.7804878,0.09090909,0.0,0.33333333,1.0,0.00011138,0.375,5.0
110,1.0,1.0,0.21052632,0.0,0.0,1.0,0.00026715,1.0,1.875
111,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
112,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
113,1.0,1.0,0.03448276,0.0,1.0,1.0,5.011e-05,1.0,14.0
114,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
115,1.0,1.0,0.04545455,0.0,1.0,1.0,5.726e-05,1.0,10.5
116,0.63888889,0.9375,0.20689655,0.22222222,0.77777778,0.77777778,0.00026731,0.125,1.91666667
117,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
118,1.0,1.0,0.53125,0.33333333,0.0,1.0,0.00113538,1.0,0.44117647
119,1.0,1.0,0.125,0.0,1.0,1.0,0.00017177,1.0,3.5
120,0.89285714,0.89552239,0.03846154,0.0,0.75,1.0,5.011e-05,0.71428571,12.5
121,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
122,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
123,0.94444444,0.94666667,0.0,0.0,1.0,1.0,0.0,0.75,34.0
124,1.0,1.0,0.125,0.0,1.0,1.0,0.00017177,1.0,3.5
125,1.0,1.0,0.16666667,0.0,0.0,1.0,0.00020036,1.0,2.5
126,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
127,1.0,1.0,0.01754386,0.0,1.0,1.0,2.506e-05,1.0,28.0
128,0.83333333,0.86440678,0.0,0.0,0.77777778,1.0,0.0,0.625,30.0
129,0.33333333,0.75,0.44444444,0.16666667,0.0,0.5,0.00026715,0.0,0.625
130,0.55555556,0.78947368,0.0,0.0,0.11111111,1.0,0.0,0.5,20.0
131,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
132,0.8,0.84615385,0.31428571,0.16666667,0.0,1.0,0.00036733,0.4,1.09090909
133,0.73333333,0.88235294,0.38888889,0.16666667,0.0,0.83333333,0.00046751,0.2,0.78571429
134,1.0,1.0,0.04545455,0.0,1.0,1.0,5.726e-05,1.0,10.5
135,0.73333333,0.88235294,0.21428571,0.16666667,0.0,0.83333333,0.00020036,0.2,1.83333333
136,0.72222222,0.76642336,0.07142857,0.0,0.44444444,1.0,8.91e-05,0.5,6.5
137,1.0,1.0,0.05084746,0.0,1.0,1.0,7.517e-05,1.0,9.33333333
138,0.88888889,0.92079208,0.0,0.0,0.88888889,1.0,0.0,0.5,32.0
139,0.78571429,0.82857143,0.02222222,0.0,0.375,1.0,2.506e-05,0.57142857,22.0
140,0.77777778,0.83018868,0.11111111,0.11111111,0.77777778,1.0,0.00015593,0.375,4.0
141,0.73333333,0.88235294,0.26666667,0.0,0.0,0.83333333,0.00026715,0.2,1.375
142,0.73333333,0.88235294,0.29032258,0.0,0.0,0.83333333,0.00030054,0.2,1.22222222
143,0.93333333,0.92307692,0.2,0.0,0.0,1.0,0.00023375,0.8,2.0
144,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
145,1.0,1.0,0.01754386,0.0,1.0,1.0,2.506e-05,1.0,28.0
146,0.93333333,0.92307692,0.09677419,0.0,0.0,1.0,0.00010018,0.8,4.66666667
147,1.0,1.0,0.04545455,0.0,1.0,1.0,5.726e-05,1.0,10.5
148,0.66666667,0.69230769,0.31034483,0.0,0.0,1.0,0.00030054,0.4,1.11111111
149,0.8,0.84615385,0.31428571,0.16666667,0.0,1.0,0.00036733,0.4,1.09090909
150,0.73333333,0.88235294,0.18518519,0.16666667,0.0,0.83333333,0.00016697,0.2,2.2
151,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
152,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
153,0.53333333,0.63157895,0.30434783,0.16666667,0.0,0.66666667,0.00023375,0.2,1.14285714
154,1.0,1.0,0.08695652,0.0,1.0,1.0,0.00011451,1.0,5.25
155,1.0,1.0,0.06666667,0.0,1.0,1.0,8.589e-05,1.0,7.0
156,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
157,1.0,1.0,0.11764706,0.0,0.0,1.0,0.00013357,1.0,3.75
158,0.75,0.8125,0.0,0.0,0.375,1.0,0.0,0.42857143,21.0
159,0.92857143,0.93103448,0.0,0.0,0.875,1.0,0.0,0.71428571,26.0
160,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
161,1.0,1.0,0.02325581,0.0,1.0,1.0,2.863e-05,1.0,21.0
162,1.0,1.0,0.0625,0.0,0.0,1.0,6.679e-05,1.0,7.5
163,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
164,0.89285714,0.91111111,0.0,0.0,0.875,1.0,0.0,0.57142857,25.0
165,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
166,0.67857143,0.76923077,0.02564103,0.0,0.25,1.0,2.506e-05,0.57142857,19.0
167,1.0,1.0,0.02325581,0.0,1.0,1.0,2.863e-05,1.0,21.0
168,0.78571429,0.82857143,0.0,0.0,0.375,1.0,0.0,0.57142857,22.0
169,0.78571429,0.94594595,0.15384615,0.125,0.875,0.875,0.00020044,0.14285714,2.75
170,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
171,0.6,0.71428571,0.30769231,0.0,0.0,1.0,0.00026715,0.4,1.125
172,0.89285714,0.91111111,0.0,0.0,0.875,1.0,0.0,0.57142857,25.0
